Error: That port is already in use.
[18/Nov/2013 11:28:33] "GET /getjobinfo?jid=20131118112812542533&where=80 HTTP/1.0" 200 27
[18/Nov/2013 11:28:34] "GET /getjobinfo?jid=20131118112812542533&where=80 HTTP/1.0" 200 27
[18/Nov/2013 11:28:35] "GET /getjobinfo?jid=20131118112812542533&where=80 HTTP/1.0" 200 27
[18/Nov/2013 11:28:36] "GET /getjobinfo?jid=20131118112812542533&where=80 HTTP/1.0" 200 27
[18/Nov/2013 11:28:37] "GET /getjobinfo?jid=20131118112812542533&where=80 HTTP/1.0" 200 27
[18/Nov/2013 11:28:38] "GET /getjobinfo?jid=20131118112812542533&where=80 HTTP/1.0" 200 27
[18/Nov/2013 11:28:39] "GET /getjobinfo?jid=20131118112812542533&where=80 HTTP/1.0" 200 27
[18/Nov/2013 11:28:40] "GET /getjobinfo?jid=20131118112812542533&where=80 HTTP/1.0" 200 776
[18/Nov/2013 11:28:41] "GET /getjobinfo?jid=20131118112812542533&where=85 HTTP/1.0" 200 327
[18/Nov/2013 11:28:41] "GET /getjobinfo?jid=20131118112812542533&where=87 HTTP/1.0" 200 27
[18/Nov/2013 11:28:42] "GET /getjobinfo?jid=20131118112812542533&where=87 HTTP/1.0" 200 176
[18/Nov/2013 11:28:42] "GET /getjobinfo?jid=20131118112812542533&where=88 HTTP/1.0" 200 27
[18/Nov/2013 11:28:43] "GET /getjobinfo?jid=20131118112812542533&where=88 HTTP/1.0" 200 27
[18/Nov/2013 11:28:44] "GET /getjobinfo?jid=20131118112812542533&where=88 HTTP/1.0" 200 27
[18/Nov/2013 11:28:45] "GET /getjobinfo?jid=20131118112812542533&where=88 HTTP/1.0" 200 27
[18/Nov/2013 11:28:46] "GET /getjobinfo?jid=20131118112812542533&where=88 HTTP/1.0" 200 27
[18/Nov/2013 11:28:47] "GET /getjobinfo?jid=20131118112812542533&where=88 HTTP/1.0" 200 27
[18/Nov/2013 11:28:48] "GET /getjobinfo?jid=20131118112812542533&where=88 HTTP/1.0" 200 27
[18/Nov/2013 11:28:49] "GET /getjobinfo?jid=20131118112812542533&where=88 HTTP/1.0" 200 27
[18/Nov/2013 11:28:50] "GET /getjobinfo?jid=20131118112812542533&where=88 HTTP/1.0" 200 27
[18/Nov/2013 11:28:51] "GET /getjobinfo?jid=20131118112812542533&where=88 HTTP/1.0" 200 927
[18/Nov/2013 11:28:51] "GET /getjobinfo?jid=20131118112812542533&where=94 HTTP/1.0" 200 27
[18/Nov/2013 11:28:52] "GET /getjobinfo?jid=20131118112812542533&where=94 HTTP/1.0" 200 27
[18/Nov/2013 11:28:53] "GET /getjobinfo?jid=20131118112812542533&where=94 HTTP/1.0" 200 27
[18/Nov/2013 11:28:54] "GET /getjobinfo?jid=20131118112812542533&where=94 HTTP/1.0" 200 27
[18/Nov/2013 11:28:56] "GET /getjobinfo?jid=20131118112812542533&where=94 HTTP/1.0" 200 325
[18/Nov/2013 11:28:56] "GET /getjobinfo?jid=20131118112812542533&where=96 HTTP/1.0" 200 27
[18/Nov/2013 11:28:57] "GET /getjobinfo?jid=20131118112812542533&where=96 HTTP/1.0" 200 1686
[18/Nov/2013 11:28:58] "GET /getjobinfo?jid=20131118112812542533&where=107 HTTP/1.0" 200 631
[18/Nov/2013 11:28:58] "GET /getjobinfo?jid=20131118112812542533&where=111 HTTP/1.0" 200 477
[18/Nov/2013 11:28:58] "GET /getjobinfo?jid=20131118112812542533&where=114 HTTP/1.0" 200 28
[18/Nov/2013 11:28:59] "GET /getjobinfo?jid=20131118112812542533&where=114 HTTP/1.0" 200 2739
[18/Nov/2013 11:28:59] "GET /getjobinfo?jid=20131118112812542533&where=132 HTTP/1.0" 200 28
[18/Nov/2013 11:29:00] "GET /getjobinfo?jid=20131118112812542533&where=132 HTTP/1.0" 200 2432
[18/Nov/2013 11:29:00] "GET /getjobinfo?jid=20131118112812542533&where=148 HTTP/1.0" 200 178
[18/Nov/2013 11:29:00] "GET /getjobinfo?jid=20131118112812542533&where=149 HTTP/1.0" 200 628
[18/Nov/2013 11:29:00] "GET /getjobinfo?jid=20131118112812542533&where=153 HTTP/1.0" 200 28
[18/Nov/2013 11:29:01] "GET /getjobinfo?jid=20131118112812542533&where=153 HTTP/1.0" 200 2737
[18/Nov/2013 11:29:01] "GET /getjobinfo?jid=20131118112812542533&where=171 HTTP/1.0" 200 177
[18/Nov/2013 11:29:01] "GET /getjobinfo?jid=20131118112812542533&where=172 HTTP/1.0" 200 176
[18/Nov/2013 11:29:01] "GET /getjobinfo?jid=20131118112812542533&where=173 HTTP/1.0" 200 327
[18/Nov/2013 11:29:01] "GET /getjobinfo?jid=20131118112812542533&where=175 HTTP/1.0" 200 28
[18/Nov/2013 11:29:03] "GET /getjobinfo?jid=20131118112812542533&where=175 HTTP/1.0" 200 3347
[18/Nov/2013 11:29:03] "GET /getjobinfo?jid=20131118112812542533&where=197 HTTP/1.0" 200 327
[18/Nov/2013 11:29:03] "GET /getjobinfo?jid=20131118112812542533&where=199 HTTP/1.0" 200 28
[18/Nov/2013 11:29:04] "GET /getjobinfo?jid=20131118112812542533&where=199 HTTP/1.0" 200 478
[18/Nov/2013 11:29:04] "GET /getjobinfo?jid=20131118112812542533&where=202 HTTP/1.0" 200 28
[18/Nov/2013 11:29:05] "GET /getjobinfo?jid=20131118112812542533&where=202 HTTP/1.0" 200 1687
[18/Nov/2013 11:29:05] "GET /getjobinfo?jid=20131118112812542533&where=213 HTTP/1.0" 200 28
[18/Nov/2013 11:29:06] "GET /getjobinfo?jid=20131118112812542533&where=213 HTTP/1.0" 200 1385
[18/Nov/2013 11:29:06] "GET /getjobinfo?jid=20131118112812542533&where=222 HTTP/1.0" 200 28
[18/Nov/2013 11:29:07] "GET /getjobinfo?jid=20131118112812542533&where=222 HTTP/1.0" 200 776
[18/Nov/2013 11:29:07] "GET /getjobinfo?jid=20131118112812542533&where=227 HTTP/1.0" 200 28
[18/Nov/2013 11:29:08] "GET /getjobinfo?jid=20131118112812542533&where=227 HTTP/1.0" 200 780
[18/Nov/2013 11:29:08] "GET /getjobinfo?jid=20131118112812542533&where=232 HTTP/1.0" 200 28
[18/Nov/2013 11:29:09] "GET /getjobinfo?jid=20131118112812542533&where=232 HTTP/1.0" 200 28
[18/Nov/2013 11:29:10] "GET /getjobinfo?jid=20131118112812542533&where=232 HTTP/1.0" 200 28
[18/Nov/2013 11:29:11] "GET /getjobinfo?jid=20131118112812542533&where=232 HTTP/1.0" 200 28
[18/Nov/2013 11:29:12] "GET /getjobinfo?jid=20131118112812542533&where=232 HTTP/1.0" 200 28
[18/Nov/2013 11:29:13] "GET /getjobinfo?jid=20131118112812542533&where=232 HTTP/1.0" 200 28
[18/Nov/2013 11:29:14] "GET /getjobinfo?jid=20131118112812542533&where=232 HTTP/1.0" 200 28
[18/Nov/2013 11:29:15] "GET /getjobinfo?jid=20131118112812542533&where=232 HTTP/1.0" 200 28
[18/Nov/2013 11:29:16] "GET /getjobinfo?jid=20131118112812542533&where=232 HTTP/1.0" 200 28
[18/Nov/2013 11:29:17] "GET /getjobinfo?jid=20131118112812542533&where=232 HTTP/1.0" 200 28
[18/Nov/2013 11:29:19] "GET /getjobinfo?jid=20131118112812542533&where=232 HTTP/1.0" 200 179
[18/Nov/2013 11:29:19] "GET /getjobinfo?jid=20131118112812542533&where=233 HTTP/1.0" 200 28
[18/Nov/2013 11:29:20] "GET /getjobinfo?jid=20131118112812542533&where=233 HTTP/1.0" 200 28
[18/Nov/2013 11:29:21] "GET /getjobinfo?jid=20131118112812542533&where=233 HTTP/1.0" 200 28
[18/Nov/2013 11:29:22] "GET /getjobinfo?jid=20131118112812542533&where=233 HTTP/1.0" 200 28
[18/Nov/2013 11:29:23] "GET /getjobinfo?jid=20131118112812542533&where=233 HTTP/1.0" 200 28
[18/Nov/2013 11:29:24] "GET /getjobinfo?jid=20131118112812542533&where=233 HTTP/1.0" 200 28
[18/Nov/2013 11:29:25] "GET /getjobinfo?jid=20131118112812542533&where=233 HTTP/1.0" 200 28
[18/Nov/2013 11:29:26] "GET /getjobinfo?jid=20131118112812542533&where=233 HTTP/1.0" 200 28
[18/Nov/2013 11:29:27] "GET /getjobinfo?jid=20131118112812542533&where=233 HTTP/1.0" 200 28
[18/Nov/2013 11:29:28] "GET /getjobinfo?jid=20131118112812542533&where=233 HTTP/1.0" 200 479
[18/Nov/2013 11:29:28] "GET /getjobinfo?jid=20131118112812542533&where=236 HTTP/1.0" 200 28
[18/Nov/2013 11:29:29] "GET /getjobinfo?jid=20131118112812542533&where=236 HTTP/1.0" 200 28
[18/Nov/2013 11:29:30] "GET /getjobinfo?jid=20131118112812542533&where=236 HTTP/1.0" 200 28
[18/Nov/2013 11:29:32] "GET /getjobinfo?jid=20131118112812542533&where=236 HTTP/1.0" 200 28
[18/Nov/2013 11:29:33] "GET /getjobinfo?jid=20131118112812542533&where=236 HTTP/1.0" 200 28
[18/Nov/2013 11:29:34] "GET /getjobinfo?jid=20131118112812542533&where=236 HTTP/1.0" 200 28
[18/Nov/2013 11:29:35] "GET /getjobinfo?jid=20131118112812542533&where=236 HTTP/1.0" 200 28
[18/Nov/2013 11:29:36] "GET /getjobinfo?jid=20131118112812542533&where=236 HTTP/1.0" 200 28
[18/Nov/2013 11:29:37] "GET /getjobinfo?jid=20131118112812542533&where=236 HTTP/1.0" 200 28
[18/Nov/2013 11:29:38] "GET /getjobinfo?jid=20131118112812542533&where=236 HTTP/1.0" 200 329
[18/Nov/2013 11:29:38] "GET /getjobinfo?jid=20131118112812542533&where=238 HTTP/1.0" 200 28
[18/Nov/2013 11:29:39] "GET /getjobinfo?jid=20131118112812542533&where=238 HTTP/1.0" 200 28
